"Title"	"Series"	"Contributors"	"Average Rating"	"Number of Ratings"	"Number of Reviews"	"Description"	"Number of Pages"	"Publishing Date"	"Genres"	"Setting"	"Characters"	"ISBN"	"Language"	"URL"
"From the Mixed-Up Files of Mrs. Basil E. Frankweiler"	"None"	"E.L. Konigsburg"	"4.16"	"218,477"	"9,917"	"Winner of the 1968 Newbery MedalWhen Claudia decided to run away, she planned very carefully. She would be gone just long enough to teach her parents a lesson in Claudia appreciation. And she would go in comfort - she would live at the Metropolitan Museum of Art. She saved her money, and she invited her brother Jamie to go, mostly because he was a miser and would have money.Claudia was a good organizer and Jamie had some ideas, too; so the two took up residence at the museum right on schedule. But once the fun of settling in was over, Claudia had two unexpected problems: She felt just the same, and she wanted to feel different; and she found a statue at the Museum so beautiful she could not go home until she had discovered its maker, a question that baffled the experts, too.The former owner of the statue was Mrs. Basil E. Frankweiler. Without her - well, without her, Claudia might never have found a way to go home."	"159"	"June 2, 2003"	"Fiction; Childrens; Middle Grade; Young Adult; Classics; Mystery; Adventure"	"New York City, New York(United States),Connecticut(United States),Metropolitan Museum of Art,Manhattan, New York City, New York(United States)"	"Mrs. Basil E. Frankweiler,Claudia Kincaid,James Kincaid"	"9780744583274(ISBN10: 0744583276)"	"English"	"https://www.goodreads.com/book/show/3980.From_the_Mixed_Up_Files_of_Mrs_Basil_E_Frankweiler"
"Scythe"	"Arc of a Scythe"	"Neal Shusterman"	"4.32"	"405,828"	"56,913"	"Thou shalt kill.A world with no hunger, no disease, no war, no misery. Humanity has conquered all those things, and has even conquered death. Now scythes are the only ones who can end life—and they are commanded to do so, in order to keep the size of the population under control.Citra and Rowan are chosen to apprentice to a scythe—a role that neither wants. These teens must master the “art” of taking life, knowing that the consequence of failure could mean losing their own.An alternate cover edition ofISBN: 9781442472426"	"435"	"November 22, 2016"	"Fantasy; Young Adult; Dystopia; Science Fiction; Fiction; Audiobook; Romance"	"Unknown"	"Citra Terranova,Tyger Salazar,Rowan Damisch,Scythe Faraday"	"Unknown"	"English"	"https://www.goodreads.com/book/show/28954189-scythe"
"The Shards"	"None"	"Bret Easton Ellis"	"4.00"	"42,166"	"6,241"	"A sensational new novel from the best-selling author ofLess Than ZeroandImperial Bedroomsthat tracks a group of privileged Los Angeles high school friends as a serial killer strikes across the city.Bret Easton Ellis's masterful new novel is a story about the end of innocence, and the perilous passage from adolescence into adulthood, set in a vibrantly fictionalized Los Angeles in 1981 as a serial killer begins targeting teenagers throughout the city.17-year-old Bret is a senior at the exclusive Buckley prep school when a new student arrives with a mysterious past. Robert Mallory is bright, handsome, charismatic, and shielding a secret from Bret and his friends even as he becomes a part of their tightly knit circle. Bret's obsession with Mallory is equaled only by his increasingly unsettling pre-occupation with The Trawler, a serial killer on the loose who seems to be drawing ever closer to Bret and his friends, taunting them--and Bret in particular--with grotesque threats and horrific, sharply local acts of violence. The coincidences are uncanny, but they are also filtered through the imagination of a teenager whose gifts for constructing narrative from the filaments of his own life are about to make him one of the most explosive literary sensations of his generation. Can he trust his friends--or his own mind--to make sense of the danger they appear to be in? Thwarted by the world and by his own innate desires, buffeted by unhealthy fixations, he spirals into paranoia and isolation as the relationship between The Trawler and Robert Mallory hurtles inexorably toward a collision.Set against the intensely vivid and nostalgic backdrop of pre-Less Than ZeroLA,The Shardsis a mesmerizing fusing of fact and fiction, the real and the imagined, that brilliantly explores the emotional fabric of Bret's life at 17-sex and jealousy, obsession and murderous rage. Gripping, sly, suspenseful, deeply haunting and often darkly funny,The Shardsis Ellis at his inimitable best."	"608"	"January 17, 2023"	"Fiction; Thriller; Horror; Mystery; Contemporary; Mystery Thriller; Audiobook"	"California(United States, 1981),Los Angeles, California(United States)"	"Bret Easton Ellis,Debbie Schaffer,Thom Wright,Susan Reynolds,Robert Mallory,Matt Kellner,Terry Schaffer,Ryan Vaughn,Liz Schaffer,Steven Reinhardt,Sheila Kellner,Ronald Kellner,Abigail Mallory,Jeff Taylor,Tracy Goldman,Anthony Matthews,Dominic Thompson,Doug Furth,Kyle Colson,Kevin Kerslake"	"9780593535608(ISBN10: 059353560X)"	"English"	"https://www.goodreads.com/book/show/60880820-the-shards"
"The Ballad of Never After"	"Once Upon a Broken Heart"	"Stephanie Garber"	"4.49"	"459,570"	"69,791"	"Not every love is meant to be.After Jacks, the Prince of Hearts, betrays her, Evangeline Fox swears she'll never trust him again. Now that she’s discovered her own magic, Evangeline believes she can use it to restore the chance at happily ever after that Jacks stole away.But when a new terrifying curse is revealed, Evangeline finds herself entering into a tenuous partnership with the Prince of Hearts again. Only this time, the rules have changed. Jacks isn’t the only force Evangeline needs to be wary of. In fact, he might be the only one she can trust, despite her desire to despise him.Instead of a love spell wreaking havoc on Evangeline’s life, a murderous spell has been cast. To break it, Evangeline and Jacks will have to do battle with old friends, new foes, and a magic that plays with heads and hearts. Evangeline has always trusted her heart, but this time she’s not sure she can..."	"416"	"September 13, 2022"	"Fantasy; Romance; Romantasy; Young Adult; Fantasy Romance; Enemies To Lovers; Audiobook"	"The Magnificent North"	"Jacks,Chaos (Fate),Marisol Tourmaline,Luc Navarro,Evangeline Fox,Apollo Acadian,Ariel “LaLa” Lagrimas"	"9781250268426(ISBN10: 1250268427)"	"English"	"https://www.goodreads.com/book/show/59808071-the-ballad-of-never-after"
"Being a Witch, and Other Things I Didn't Ask For"	"None"	"Sara Pascoe"	"4.28"	"26,859"	"158"	"Raya’s burgeoning psychic and time-travel powers could freak anybody out. But they're that much weirder when you're an emotionally wounded, smart-mouthed, foster kid. After accidentally flinging herself to 1645 England amidst their deadliest witch trials, along with an equally smart-aleck talking cat, people try to help her come home. But instead she sticks her fingers in it again, and transports to 1645 Istanbul, where life is leaps and bounds beyond England. There she meets extraordinary historical figures as well as ordinary people. She starts to let love in, and begins to heal. “Raya’s bittersweet memories of her mother are absolutely heartbreaking and serve as an important touchstone for readers who may have experienced similar trauma. The author’s talent for balancing real-world issues with adrenaline-pumping exploits through time (including a perilous sojourn to 17th-century Istanbul) is impressive, as are her richly detailed descriptions of various people and places.”Kirkus Reviews – Verdict: Get it."	"380"	"February 6, 2017"	"Adventure; Novels; Ebooks; Fiction; Young Adult; Action; Book Club"	"England(, 1645),Constantinople(Turkey),Turkey(, 1645),Istanbul(Turkey)"	"Unknown"	"9780993574733(ISBN10: 0993574734)"	"English"	"https://www.goodreads.com/book/show/34186576-being-a-witch-and-other-things-i-didn-t-ask-for"
"The Magus"	"None"	"John Fowles"	"4.05"	"63,446"	"4,520"	"This daring literary thriller, rich with eroticism and suspense, is one of John Fowles's best-loved and bestselling novels and has contributed significantly to his international reputation as a writer of the first degree. At the center ofThe Magusis Nicholas Urfe, a young Englishman who accepts a teaching position on a remote Greek island, where he befriends a local millionaire. The friendship soon evolves into a deadly game, in which reality and fantasy are deliberately manipulated, and Nicholas finds that he must fight not only for his sanity but for his very survival."	"656"	"January 4, 2001"	"Fiction; Classics; Fantasy; Mystery; Literature; Novels; Literary Fiction"	"Greece(, 1953),London, England(, 1953),Athens(Greece),Greek islands(Greece)"	"Nicholas Urfe,Alison Kelly,Maurice Conchis,Julie Holmes,June Holmes,Lily de Seitas,Joe Harrison,Sandy Mitford,Demetriades,Joan Kemp,John Leverrier,John Briggs"	"9780316296199(ISBN10: 0316296198)"	"English"	"https://www.goodreads.com/book/show/16286.The_Magus"
"Death on the Nile"	"Hercule Poirot"	"Agatha Christie"	"4.12"	"302,344"	"21,187"	"The tranquility of a lovely cruise along the Nile is shattered by the discovery that Linnet Ridgeway has been shot. She was young, stylish and beautiful, a girl who had everything – until she lost her life.Who is also on board? Christie's great detective Hercule Poirot is on holiday. He recalls an earlier outburst by a fellow passenger: ‘I’d like to put my dear little pistol against her head and just press the trigger.’ Despite the exotic setting, nothing is ever quite what it seems…"	"352"	"January 1, 1978"	"Mystery; Agatha Christie; Fiction; Classics; Crime; Mystery Thriller; Audiobook"	"Nile River(Egypt),Egypt,Africa"	"Colonel Race,Simon  Doyle,Rufus Van Aldin,Hercule Poirot,Linnet Ridgeway,Jacqueline de Bellefort,Mrs. Allerton,Tim Allerton,Dr. Carl Bessner,Jim Fanthorp,Mr. Ferguson,Salomè Otterbourne,Rosalie Otterbourne,Andrew Pennington,Cornelia Robson,Marie Van Schuyler,Joanna Southwood"	"Unknown"	"English"	"https://www.goodreads.com/book/show/131359.Death_on_the_Nile"
"Once Upon a Broken Heart"	"Once Upon a Broken Heart"	"Stephanie Garber"	"4.06"	"632,805"	"81,812"	"How far would you go for happily ever after?For as long as she can remember, Evangeline Fox has believed in true love and happy endings... until she learns that the love of her life will marry another.Desperate to stop the wedding and to heal her wounded heart, Evangeline strikes a deal with the charismatic but wicked Prince of Hearts. In exchange for his help, he asks for three kisses, to be given at the time and place of his choosing.But after Evangeline’s first promised kiss, she learns that bargaining with an immortal is a dangerous game—and that the Prince of Hearts wants far more from her than she’d pledged. He has plans for Evangeline, plans that will either end in the greatest happily ever after or the most exquisite tragedy..."	"408"	"September 28, 2021"	"Fantasy; Romance; Young Adult; Romantasy; Fiction; Fantasy Romance; Magic"	"The Magnificent North,The Meridian Empire"	"Jacks,Chaos (Fate),Marisol Tourmaline,Luc Navarro,Evangeline Fox,Apollo Acadian,Ariel “LaLa” Lagrimas"	"9781250268396(ISBN10: 1250268397)"	"English"	"https://www.goodreads.com/book/show/55987278-once-upon-a-broken-heart"
"John Adams"	"None"	"David McCullough"	"4.08"	"376,298"	"7,707"	"The enthralling, often surprising story of John Adams, one of the most important and fascinating Americans who ever lived.In this powerful, epic biography, David McCullough unfolds the adventurous life-journey of John Adams, the brilliant, fiercely independent, often irascible, always honest Yankee patriot -- "the colossus of independence," as Thomas Jefferson called him -- who spared nothing in his zeal for the American Revolution; who rose to become the second President of the United States and saved the country from blundering into an unnecessary war; who was learned beyond all but a few and regarded by some as "out of his senses"; and whose marriage to the wise and valiant Abigail Adams is one of the moving love stories in American history.Like his masterly, Pulitzer Prize-winning biography Truman, David McCullough's John Adams has the sweep and vitality of a great novel. It is both a riveting portrait of an abundantly human man and a vivid evocation of his time, much of it drawn from an outstanding collection of Adams family letters and diaries. In particular, the more than one thousand surviving letters between John and Abigail Adams, nearly half of which have never been published, provide extraordinary access to their private lives and make it possible to know John Adams as no other major American of his founding era.As he has with stunning effect in his previous books, McCullough tells the story from within -- from the point of view of the amazing eighteenth century and of those who, caught up in events, had no sure way of knowing how things would turn out. George Washington, Benjamin Franklin, John Jay, the British spy Edward Bancroft, Madame Lafayette and Jefferson's Paris "interest" Maria Cosway, Alexander Hamilton, James Madison, the scandalmonger James Callender, Sally Hemings, John Marshall, Talleyrand, and Aaron Burr all figure in this panoramic chronicle, as does, importantly, John Quincy Adams, the adored son whom Adams would live to see become President.Crucial to the story, as it was to history, is the relationship between Adams and Jefferson, born opposites -- one a Massachusetts farmer's son, the other a Virginia aristocrat and slaveholder, one short and stout, the other tall and spare. Adams embraced conflict; Jefferson avoided it. Adams had great humor; Jefferson, very little. But they were alike in their devotion to their country.At first they were ardent co-revolutionaries, then fellow diplomats and close friends. With the advent of the two political parties, they became archrivals, even enemies, in the intense struggle for the presidency in 1800, perhaps the most vicious election in history. Then, amazingly, they became friends again, and ultimately, incredibly, they died on the same day -- their day of days -- July 4, in the year 1826.Much about John Adams's life will come as a surprise to many readers. His courageous voyage on the frigate Boston in the winter of 1778 and his later trek over the Pyrenees are exploits that few would have dared and that few readers will ever forget.It is a life encompassing a huge arc -- Adams lived longer than any president. The story ranges from the Boston Massacre to Philadelphia in 1776 to the Versailles of Louis XVI, from Spain to Amsterdam, from the Court of St. James's, where Adams was the first American to stand before King George III as a representative of the new nation, to the raw, half-finished Capital by the Potomac, where Adams was the first President to occupy the White House.This is history on a grand scale -- a book about politics and war and social issues, but also about human nature, love, religious faith, virtue, ambition, friendship and betrayal, and the far-reaching consequences of noble ideas. Above all, John Adams is an enthralling, often surprising story of one of the most important and fascinating Americans who ever lived."	"751"	"May 22, 2001"	"History; Biography; Nonfiction; American History; Presidents; Politics; Historical"	"Boston, Massachusetts(United States),Philadelphia, Pennsylvania(United States)"	"John Adams,Benjamin Franklin,John Dickinson,Abigail Adams,George Washington,Thomas Jefferson"	"9780743223133(ISBN10: 0743223136)"	"English"	"https://www.goodreads.com/book/show/2203.John_Adams"
"The Book of Mormon: Another Testament of Jesus Christ"	"None"	"Joseph Smith Jr."	"4.23"	"90,535"	"6,982"	"From the Introduction:The Book of Mormon is a volume of holy scripture comparable to the Bible. It is a record of God's dealings with the ancient inhabitants of the Americas and contains, as does the Bible, the fulness of the everlasting gospel.The book was written by many ancient prophets by the spirit of prophecy and revelation. Their words, written on gold plates, were quoted and abridged by a prophet-historian named Mormon. The record gives an account of two great civilizations. One came from Jerusalem in 600 B.C., and afterward separated into two nations, known as the Nephites and the Lamanites. The other came much earlier when the Lord confounded the tongues at the Tower of Babel. Thsi group is known as the Jaredites. After thousands of years, all were destroyed except the Lamanites, and they are the principal ancestors of the American Indians.The crowning event recorded in the Book of Mormon is the personal ministry of the Lord Jesus Christ among the Nephites soon after his resurrection. It puts forth the doctrines of the gospel, outlines the plan of salvation, and tells men what they must do to gain peace in this life and eternal salvation in the life to come.After Mormon completed his writings, he delivered the account to his son Moroni, who added a few words of his own and hid up the plates in the hill Cumorah. On September 21, 1823, the same Moroni, the a glorified, resurrected being, appeared to the Prophet Joseph Smith and instructed him relative to the ancient record and its destined translation into the English language.In due course the plates were delivered to Joseph Smith, who translated them by the gift and power of God. The record is now published in many languages as a new and additional witness that Jesus Christ is the Son of the living God and that all who will come unto him and obey the laws and ordinances of his gospel may be saved.Concerning this record the Prophet Joseph Smith said: "I told the brethren that the Book of Mormon was the most correct of any book on earth, and the keystone of our religion, and a man would get nearer to God by abiding by its precepts, than by any other book."In addition to Joseph Smith, the Lord provided for eleven others to see the gold plates for themselves and to be special witnesses of the truth and divinity of the Book of Mormon. Their written testimonies are included herewith as "The Testimony of Three Witnesses" and "The Testimony of Eight Witnesses."We invite all men everywhere to read the Book of Mormon, to ponder in their hearts the message it contains, and then to ask God, the Eternal Father, in the name of Christ if the book is true. Those who pursue this course an ask in faith will gain a testimony of its truth and divinity by the power of the Holy Ghost. (See Moroni 10: 3-5)Those who gain this divine witness from the Holy Spirit will also come to know by the same power that Jesus Christ is the Savior of the world, that Joseph Smith is his revelator and prophet in these last days, and that The Church of Jesus Christ of Latter-day Saints is the Lord's kingdom once again established on the earth, preparatory to the second coming of the Messiah."	"531"	"January 1, 2013"	"Religion; Nonfiction; Lds; Church; Spirituality; Classics; History"	"Unknown"	"Unknown"	"9780967686561(ISBN10: 0967686563)"	"English"	"https://www.goodreads.com/book/show/323355.The_Book_of_Mormon"
"Rosencrantz and Guildenstern Are Dead"	"None"	"Tom Stoppard"	"4.04"	"92,671"	"3,121"	"1967 Grove Press trade paperback, 34th printing. Tom Stoppard ( A Play). The play Hamlet as seen by the Shakespearean Laurel and Hardy"	"126"	"January 21, 1994"	"Plays; Classics; Fiction; Drama; Theatre; Humor; School"	"Unknown"	"Horatio,Polonius,Laertes,Rosencrantz and Guildenstern,Claudius, King of Denmark,Gertrude,Ophelia,Hamlet"	"9780802132758(ISBN10: 0802132758)"	"English"	"https://www.goodreads.com/book/show/18545.Rosencrantz_and_Guildenstern_Are_Dead"
"Possession"	"None"	"A.S. Byatt"	"3.90"	"84,058"	"6,017"	"A pair of young scholars investigate the lives of two Victorian poets. Following a trail of letters, journals and poems they uncover a web of passion, deceit and tragedy, and their quest becomes a battle against time.Possessionis an exhilarating novel of wit and romance, at once a literary detective novel and a triumphant love story."	"555"	"October 1, 1991"	"Fiction; Historical Fiction; Romance; Classics; Mystery; Literary Fiction; Historical"	"London, England,Lincoln, England,England,United Kingdom"	"Maud Bailey,Roland Michell,Christabel LaMotte,Randolph Henry Ash,Leonora Stern,Mortimer Cropper,James Blackadder,Beatrice Nest,Val,Euan MacIntyre,Ellen Ash,Blanche Glover,Sabine de Kerkoz"	"9780679735908(ISBN10: 0679735909)"	"English"	"https://www.goodreads.com/book/show/41219.Possession"
"Alanna: The First Adventure"	"Song of the Lioness"	"Tamora Pierce"	"4.27"	"136,405"	"6,682"	"From now on I'm Alan of Trebond, the younger twin. I'll be a knight.And so young Alanna of Trebond begins the journey to knighthood. Though a girl, Alanna has always craved the adventure and daring allowed only for boys; her twin brother, Thom, yearns to learn the art of magic. So one day they decide to switch places: Thom heads for the convent to learn magic; Alanna, pretending to be a boy, is on her way to the castle of King Roald to begin her training as a page.But the road to knighthood is not an easy one. As Alanna masters the skills necessary for battle, she must also learn to control her heart and to discern her enemies from her allies.Filled with swords and sorcery, adventure and intrigue, good and evil, Alanna's first adventure begins - one that will lead to the fulfillment of her dreams and the magical destiny that will make her a legend in her land."	"274"	"January 1, 2005"	"Fantasy; Young Adult; Fiction; Magic; Adventure; Middle Grade; Young Adult Fantasy"	"Tortall"	"Alanna of Trebond,Thom of Trebond,Coram Smythesson,George Cooper,Jonathan of Conte,Raoul of Goldenlake,Gareth of Naxen the Second (Gary),Alex of Tirrigan,Duke Roger of Conte"	"9780689878558(ISBN10: 0689878559)"	"English"	"https://www.goodreads.com/book/show/13831.Alanna"
"The Blind Assassin"	"None"	"Margaret Atwood"	"3.96"	"162,879"	"10,327"	"Margaret Atwood takes the art of storytelling to new heights in a dazzling novel that unfolds layer by astonishing layer and concludes in a brilliant and wonderfully satisfying twist. Told in a style that magnificently captures the colloquialisms and clichés of the 1930s and 1940s,The Blind Assassinis a richly layered and uniquely rewarding experience.It opens with these simple, resonant words: "Ten days after the war ended, my sister drove a car off the bridge." They are spoken by Iris, whose terse account of her sister Laura's death in 1945 is followed by an inquest report proclaiming the death accidental. But just as the reader expects to settle into Laura's story, Atwood introduces a novel-within-a-novel. EntitledThe Blind Assassin, it is a science fiction story told by two unnamed lovers who meet in dingy backstreet rooms. When we return to Iris, it is through a 1947 newspaper article announcing the discovery of a sailboat carrying the dead body of her husband, a distinguished industrialist.For the past twenty-five years, Margaret Atwood has written works of striking originality and imagination. InThe Blind Assassin, she stretches the limits of her accomplishments as never before, creating a novel that is entertaining and profoundly serious.The Blind Assassinproves once again that Atwood is one of the most talented, daring, and exciting writers of our time. LikeThe Handmaid's Tale, it is destined to become a classic."	"637"	"September 3, 2001"	"Fiction; Historical Fiction; Mystery; Book Club; Literary Fiction; Classics; Canada"	"Toronto, Ontario(Canada),Ontario(Canada),Canada,Port Ticonderoga(Canada)"	"Iris Chase,Laura Chase,Alex Thomas,Richard Griffen,Winifred Prior,Norval Chase,Reenie,Myra Sturgess"	"Unknown"	"English"	"https://www.goodreads.com/book/show/78433.The_Blind_Assassin"
"Under the Dome"	"None"	"Stephen        King"	"3.93"	"322,107"	"18,654"	"Under the Dome is the story of the small town of Chester's Mill, Maine which is inexplicably and suddenly sealed off from the rest of the world by an invisible force field. No one can get in and no one can get out.When food, electricity and water run short, the normal rules of society are changed. A new and more sinister social order develops, Dale Barbara, a young Iraq veteran, teams up with a handful of intrepid citizens to fight against the corruption that is sweeping through the town and to try to discover the source of the Dome before it is too late..."	"1074"	"November 10, 2009"	"Horror; Fiction; Science Fiction; Thriller; Fantasy; Mystery; Audiobook"	"Chester's Mill, Maine(United States),Maine(United States)"	"Dale Barbara,Julia Shumway,James Rennie,Junior Rennie,Eric "Rusty" Everett,Joseph "Scarecrow Joe" McClatchey,Brenda Perkins,Frank DeLesseps,Carter Thibodeau,Melvin Searles,Georgia Roux,Andy Sanders,Phil "The Chef" Bushey,Peter Randolph,United States Military,Rusty,James "Big Jim" Rennie,Bill Allnut,Sarah Allnut,Mabel Alston,Private Clint Ames,Tommy Anderson,Willow Anderson,Elsa Andrews,Aidan Patrick Appleton,Alice Rachel Appleton,Marty Arsenault,Donnie Baribeau,Chaz Bender,Kayla Bevins,Harriet Bigelow,Fernald "Fern" Bowie,Stewart Bowie,Joe Boxer,Clayton Brassey,Freeman Brown,Gina Buffalino,Michela Burpee,Romeo "Rommie" Burpee,Little Walter Bushey,Phil Bushey,Sammy Bushey,Billy Cale,Jack Cale,Ernie Calvert,Joanie Calvert,Lucien Calvert,Norrie Calvert,Ed Carty,Carrie Carver,Deanna Carver,Johnny Carver,Eddie Chalmers,Pamela Chen,Henrietta Clavard,John Clavard,Reverend Lester Coggins,Cindy Collins,Hanna Compton,Mrs. Connaught,Lauren Conree,Rance Conroy,Arletta Coombs,Anderson Cooper,Mary Lou Costas,Colonel James O. Cox,Wanda Crumley,Wendell Crumley,Wanda Debec,Frederick "Fred"  Howard Denton,Alden Dinsmore,Oliver "Ollie" Dinsmore,Rory Dinsmore,Shelley Dinsmore,Russ Dorr,Alva Drake,Benny Drake,Norman Drake,Coralee Dumagen,Marta Edmunds,Brendan Ellerbee,Myra Evans,Erik "Rusty" Everett,Janelle Everett,Judy Everett,Linda Everett,Rusty Evers,George Frederick,Lois Freeman,Will Freeman,Jack Evans,Randall Killian,Ricky Killian,Roger Killian,Leo Lamoine,George Lathrop,Reverend Piper Libby,Rupert "Rupe" Libby,Corrie Macintosh,Suzanne Malveaux"	"9781439148501(ISBN10: 1439148503)"	"English"	"https://www.goodreads.com/book/show/6320534-under-the-dome"
"Pretties"	"Uglies"	"Scott Westerfeld"	"3.83"	"279,069"	"12,379"	"Gorgeous. Popular. Perfect.Perfectly wrong.Tally has finally become pretty. Now her looks are beyond perfect, her clothes are awesome, her boyfriend is totally hot, and she's completely popular. It's everything she's ever wanted.But beneath all the fun -- the nonstop parties, the high-tech luxury, the total freedom -- is a nagging sense that something's wrong. Something important. Then a message from Tally's ugly past arrives. Reading it, Tally remembers what's wrong with pretty life, and the fun stops cold.Now she has to choose between fighting to forget what she knows and fighting for her life -- because the authorities don't intend to let anyone with this information survive."	"370"	"November 1, 2005"	"Young Adult; Dystopia; Science Fiction; Fiction; Fantasy; Romance; Teen"	"Unknown"	"David Strorm,Tally Youngblood,Shay,Dr. Cable,Andrew Simpson Smith,Peris,Zane (Uglies)"	"9780689865398(ISBN10: 0689865392)"	"English"	"https://www.goodreads.com/book/show/24768.Pretties"
"The Death Cure"	"The Maze Runner"	"James Dashner"	"3.78"	"495,854"	"29,232"	"It’s the end of the line.WICKED has taken everything from Thomas: his life, his memories, and now his only friends—the Gladers. But it’s finally over. The trials are complete, after one final test.Will anyone survive?What WICKED doesn’t know is that Thomas remembers far more than they think. And it’s enough to prove that he can’t believe a word of what they say.The truth will be terrifying.Thomas beat the Maze. He survived the Scorch. He’ll risk anything to save his friends. But the truth might be what ends it all.The time for lies is over."	"325"	"October 11, 2011"	"Young Adult; Dystopia; Science Fiction; Fiction; Fantasy; Adventure; Post Apocalyptic"	"Unknown"	"Brenda,Teresa Agnes,Minho,Gally,Thomas (Maze Runner),Newt,Aris Jones,Jorge"	"9780385738774(ISBN10: 0385738773)"	"English"	"https://www.goodreads.com/book/show/7864437-the-death-cure"
"Cosmos"	"Cosmos"	"Carl Sagan"	"4.40"	"157,841"	"5,093"	"This visually stunning book with over 250 full-color illustrations, many of them never before published, is based on Carl Sagan’s thirteen-part television series. Told with Sagan’s remarkable ability to make scientific ideas both comprehensible and exciting, Cosmos is about science in its broadest human context, how science and civilization grew up together.The book also explores spacecraft missions of discovery of the nearby planets, the research in the Library of ancient Alexandria, the human brain, Egyptian hieroglyphics, the origin of life, the death of the Sun, the evolution of galaxies and the origins of matter, suns and worlds.Sagan retraces the fifteen billion years of cos-mic evolution that have transformed matter into life and consciousness, enabling the Cosmos to wonder about itself. He considers the latest findings on life elsewhere and how we might communicate with the beings of other worlds.Cosmos is the story of our long journey of discovery and the forces and individuals who helped to shape modern science, including Democritus, Hypatia, Kepler, Newton, Huy-gens, Champollion, Lowell and Humason. Sagan looks at our planet from an extra-terrestrial vantage point and sees a blue jewel-like world, inhabited by a lifeform that is just beginning to discover its own unity and to ven-ture into the vast ocean of space."	"384"	"May 7, 2002"	"Science; Nonfiction; Astronomy; Physics; History; Space; Philosophy"	"Unknown"	"Unknown"	"9780375508325(ISBN10: 0375508325)"	"English"	"https://www.goodreads.com/book/show/55030.Cosmos"
"Papillon"	"Papillon"	"Henri Charrière"	"4.23"	"75,236"	"3,230"	"Henri Charrière, called "Papillon," for the butterfly tattoo on his chest, was convicted in Paris in 1931 of a murder he did not commit. Sentenced to life imprisonment in the penal colony of French Guiana, he became obsessed with one goal: escape. After planning and executing a series of treacherous yet failed attempts over many years, he was eventually sent to the notorious prison, Devil's Island, a place from which no one had ever escaped . . . until Papillon. His flight to freedom remains one of the most incredible feats of human cunning, will, and endurance ever undertaken.Charrière's astonishing autobiography,Papillon, was published in France to instant acclaim in 1968, more than twenty years after his final escape. Since then, it has become a treasured classic -- the gripping, shocking, ultimately uplifting odyssey of an innocent man who simply would not be defeated."	"544"	"August 1, 2006"	"Nonfiction; Biography; Classics; Memoir; Adventure; Autobiography; History"	"Devil's Island(French Guiana),French Guiana,Paris(France),France"	"Unknown"	"9780061120664(ISBN10: 0061120669)"	"English"	"https://www.goodreads.com/book/show/6882.Papillon"
"The Sisterhood of the Traveling Pants"	"Sisterhood"	"Ann Brashares"	"3.85"	"731,798"	"9,250"	"Carmen got the jeans at a thrift shop. They didn’t look all that great: they were worn, dirty, and speckled with bleach. On the night before she and her friends part for the summer, Carmen decides to toss them.But Tibby says they’re great. She'd love to have them. Lena and Bridget also think they’re fabulous. Lena decides that they should all try them on. Whoever they fit best will get them.Nobody knows why, but the pants fit everyone perfectly. Even Carmen (who never thinks she looks good in anything) thinks she looks good in the pants. Over a few bags of cheese puffs, they decide to form a sisterhood and take the vow of the Sisterhood of the Traveling Pants . . . the next morning, they say good-bye.And then the journey of the pants — and the most memorable summer of their lives — begins."	"294"	"September 11, 2001"	"Young Adult; Fiction; Chick Lit; Contemporary; Romance; Teen; Realistic Fiction"	"Santorini(Greece),South Carolina(United States),Bethesda, Maryland(United States),Loreto, Baja California Sur(Mexico)"	"Bridget Vreeland,Tibby Rollins,Carmen Lowell,Lena Kaligaris,Effie Kaligaris,Duncan Howe,Al Lowell,Eric Richman,Kostos Dounas"	"9780385729338(ISBN10: 0385729332)"	"English"	"https://www.goodreads.com/book/show/452306.The_Sisterhood_of_the_Traveling_Pants"
"The Agony and the Ecstasy"	"None"	"Irving Stone"	"4.09"	"96,087"	"2,584"	"Celebrating the 500th anniversary of Michelangelo’s David, New American Library releases a special edition of Irving Stone’s classic biographical novel—in which both the artist and the man are brought to life in full. A masterpiece in its own right, this novel offers a compelling portrait of Michelangelo’s dangerous, impassioned loves, and the God-driven fury from which he wrested the greatest art the world has ever known."	"776"	"January 1, 1961"	"Historical Fiction; Fiction; Art; Classics; Italy; Historical; Art History"	"Italy,Florence, Tuscany(Italy),Rome(Italy),Tuscany(Italy)"	"Lorenzo de' Medici (the Magnificent),Michelangelo,Pope Clement VII,Francesco Granacci,Pietro Torrigiani,Pope Julius II,Leonardo da Vinci"	"9780451171351(ISBN10: 0451171357)"	"English"	"https://www.goodreads.com/book/show/321552.The_Agony_and_the_Ecstasy"
